0,Start,i,j,a,b,c,d,e,f,g,h,n,p,r,s,End,l
Start,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18
i,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0.26,0.47,0,0.25,0,0,0,0,0,0,0,0,0
b,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0.27,0.34,0.05,0.33,0,0,0,0,0,0,0,0,0,0
d,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0.27,0
f,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0
g,0,0,0,0,0,0,0,0,0.15,0,0.34,0,0.34,0,0,0.18,0
h,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0.08,0
n,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.15,0
s,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0.09,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
